Projet,job,file,stage,idIO,typeIO
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrROLADDECLT,#ParRepDataset#Ds_LABISValidODSfOCTAVT_ROLADDECLT.ds,VALID_OCTAVT_ROLADDECLT,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrSERIE,#ParRepDataset#Ds_LABISValidODSfOCTAV_SERIE.ds,VALID_OCTAVT_SERIE,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrSTATUTOEUV,#ParRepDataset#Ds_LABISValidODSfOCTAVT_STATUTOEUV.ds,VALID_OCTAVT_STATUTOEUV,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrSTATUTOEUVDECL,#ParRepDataset#Ds_LABISValidODSfOCTAVT_STATUTOEUVDECL.ds,VALID_OCTAVT_STATUTOEUVDECL,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrSYNCATLAS,#ParRepDataset#Ds_LABISValidODSfOCTAV_SYNCATLAS.ds,VALID_OCTAVT_SYNCATLAS,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrTITRDECLT,#ParRepDataset#Ds_LABISValidODSfOCTAV_TITRDECLT.ds,VALID_OCTAVT_TITRDECLT,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrTITRE,#ParRepDataset#Ds_LABISValidODSfOCTAV_TITRE.ds,VALID_OCTAVT_TITRE,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrTYPDEPOT,#ParRepDataset#Ds_LABISValidODSfOCTAVT_TYPDEPOT.ds,VALID_OCTAVT_STATUTOEUVDECL,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrTYPDOC,#ParRepDataset#Ds_LABISValidODSfOCTAVT_TYPDOC.ds,VALID_OCTAVT_TYPDOC,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrTYPOEUV,#ParRepDataset#Ds_LABISValidODSfOCTAVTR_TYPOEUV.ds,VALID_OCTAVTR_TYPOEUV,V0S1P2,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrTYPPUBLCTN,#ParRepDataset#Ds_LABISValidODSfOCTAVT_TYPPUBLCTN.ds,VALID_OCTAVT_TYPPUBLCTN,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV02Tran_DECLARANT,#ParRepDataset#Ds_LABISValidODSfOCTAVT_ROLADDECLT.ds,VALID_OCTAVT_ROLADDECLT,V24S1P1,CustomOutput
MGTPRD,Jx_LABISValidODSfOCTAV02Tran_DECLARANT,#ParRepDataset#Ds_LABISValidODSfOCTAV_ADDECLT.ds,VALID_OCTAVT_ADDECLT,V24S2P1,CustomOutput
MGTPRD,Jx_LABISValidODSfOCTAV02Tran_DECLARANT,#ParRepDataset#Ds_LABISValidODSfOCTAVT_AD_DECLARANT.ds,AD_DECLARANT,V25S0P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV02Tran_OEUVDECLT,#ParRepDataset#Ds_LABISValidODSfOCTAVT_OEUVDECLT_T.ds,OCTAVT_OEUVDECLT,V0S126P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV02Tran_OEUVDECLT,#ParRepDataset#Ds_LABISValidODSfOCTAV_OEUVDECLT.ds,VALID_OCTAVT_OEUVDECLT,V18S0P2,CustomOutput
MGTPRD,Jx_LABISValidODSfOCTAV02Tran_OEUVDECLT,#ParRepDataset#Ds_LABISValidODSfOCTAV_TITRDECLT.ds,VALID_OCTAVT_TITRDECLT,V19S0P2,CustomOutput
MGTPRD,Jx_LABISValidODSfOCTAV02Tran_OEUVDECLT,#ParRepDataset#Ds_LABISValidODSfOCTAVT_GREOEUV.ds,OCTAVT_GREOEUV,V5S0P2,CustomOutput
MGTPRD,Jx_LABISValidODSfOCTAV02Tran_OEUVRE,#ParRepDataset#Ds_LABISValidODSfOCTAV_MARQUE.ds,VALID_OCTAVT_MARQUE,V22S2P1,CustomOutput
MGTPRD,Jx_LABISValidODSfOCTAV02Tran_OEUVRE,#ParRepDataset#Ds_LABISValidODSfOCTAVT_GREOEUV.ds,VALID_OCTAVT_GREOEUV,V22S5P1,CustomOutput
